artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
A.C. Reed,Soul blues,1926,2004,78,1926-05-09,1926-05-09,1926-05-09,2004-02-24,2004-02-24,2004-02-24
A. M. Rajah,Kollywood,1929,1989,60,1929-07-01,1929-07-01,1,1989-04-07,7,1989-04-08
A. P. Carter,Country music,1891,1960,69,1891-12-15,1891-12-15,1891,1960-11-07,1960,1960-11-07
Aaliyah,Soul music,1979,2001,22,1979-01-16,1979-01-16,1979-01-16,2001-08-25,2001-08-25,2001-08-25
Abbey Lincoln,Jazz,1930,2010,80,1930-08-06,1930-08-06,1930,2010-08-14,2010,2010-08-14
Abdul Karim Khan,Indian classical music,1872,1937,65,1872-11-11,1872-11-11,1872-11-11,1937-10-27,1937-10-27,1937-10-27
Abdullahi Qarshe,Music of Somalia,1924,1994,70,,1924,1924,,1994,
Abe Aaron,Jazz,1910,1970,60,1910-01-27,1910-01-27,1910-01-27,1970-01-31,1970-01-31,1970-01-31
Abolhasan Saba,Persian music,1902,1957,55,1902-04-15,1902-04-15,1902-04-15,1957-12-19,1957-12-19,1957-12-19
Abraham Afewerki,Tigrigna,1966,2006,40,,1966,1966,,2006,2006
Abraham Goldfaden,Yiddish theatre,1840,1908,68,1840-07-24,,1840-07-24,1908-01-09,1908-01-09,
Ada Jones,Vocal music,1873,1922,49,1873-06-01,1873-06-01,1873-06-01,1922-05-02,1922-05-02,1922-05-02
Adam Yauch,Alternative hip hop,1964,2012,48,1964-08-05,1964-08-05,1964-08-05,2012-05-04,2012-05-04,2012-05-04
Adelaide Hall,Jazz,1901,1993,92,1901-10-20,1901-10-20,20,1993-11-07,7,1993-11-07
Adelina Patti,Opera,1843,1919,76,1843-02-10,19,1843-02-10,,1919-09-27,
Adi Lukovac,Ambient music,1970,2006,36,,1970,1970,2006-06-18,2006-06-18,Bosnia_and_Herzegovina
Adrian Borland,Post-Punk,1957,1999,42,1957-12-06,1957-12-06,6,1999-04-26,26,1999-04-26
Adriano Correia de Oliveira,Fado,1942,1982,40,1942-04-09,1942-04-09,1942-04-09,1982-10-16,1982-10-16,1982-10-16
Adrien-François Servais,Classical music,1807,1866,59,1807-06-06,1807-06-06,1807-06-06,1866-11-26,1866-11-26,1866-11-26
Adrienne Cooper,Klezmer,1946,2011,65,1946-09-01,1946-09-01,1946-09-01,2011-12-25,2011,2011-12-25
Afroman,West Coast hip hop,1974,2008,34,1974-07-28,1974-07-28,1974,,2008,
Agostinho dos Santos,Bossa Nova,1932,1973,41,1932-04-25,1932-04-25,1932,1973-07-11,1973,1973-07-11
Agustín Lara,Ballad,1897,1970,73,1897-10-30,1897-10-30,1897-10-30,1970-11-06,1970,1970-11-06
Ahmad Zahir,Rock music,1946,1979,33,1946-06-14,1946-06-14,1946-06-14,1979-06-14,1979-06-14,1979-06-14
Ahmed Abdul-Malik,Jazz,1927,1993,66,1927-01-30,1927-01-30,1927-01-30,1993-10-02,1993-10-02,1993-10-02
Ahmed Jan Thirakwa,Hindustani classical music,1892,1976,84,,1892,1892,,1976,
Ahmed Rushdi,Ghazal,1934,1983,49,1934-04-24,1934-04-24,1934,1983-04-11,1983,1983-04-11
Ahmet Ertegun,Blues music,1923,2006,83,1923-07-31,1923-07-31,31,2006-12-14,14,2006-12-14
Ahmet Kaya,Turkish folk music,1957,2000,43,1957-10-28,28,28,2000-11-16,16,2000-11-16
Akiko Futaba,Ryūkōka,1915,2011,96,1915-02-02,,1915,2011-08-16,2011,Japan
Alam Lohar,Punjabi folk,1928,1979,51,,1928,1928,1979-07-03,1979-07-03,1979-07-03
Alan Dale (singer),Traditional pop music,1925,2002,77,1925-07-09,1925-07-09,1925-07-09,2002-04-20,2002-04-20,2002-04-20
Alan Hull,Folk rock,1945,1995,50,1945-02-20,1945-02-20,1945-02-20,1995-11-17,1995-11-17,1995-11-17
Alan Jay Lerner,Musical theatre,1918,1986,68,1918-08-31,1918-08-31,31,1986-06-14,14,1986-06-14
Alan Murphy,Fusion (music),1953,1989,36,1953-11-28,,28,1989-10-19,19,1989-10-19
Alan Spenner,Folk rock,1948,1991,43,1948-05-07,1948-05-07,7,1991-08-11,11,
Alan Wilson (musician),Blues rock,1943,1970,27,1943-07-04,1943-07-04,1943-07-04,1970-09-03,1970-09-03,1970-09-03
Al Arsenault,Blues music,1938,2007,69,1938-04-06,1938-04-06,1938-04-06,2007-05-15,2007-05-15,2007-05-15
Al Bernard,Pop music,1888,1949,61,1888-11-23,1888-11-23,1888-11-23,1949-03-06,1949-03-06,1949-03-06
Alberta Hunter,Blues,1895,1984,89,1895-04-01,1895-04-01,1895-04-01,1984-10-17,1984-10-17,1984-10-17
Albert Ammons,Jazz,1907,1949,42,1907-09-23,1907-09-23,1907-09-23,1949-12-02,1949-12-02,1949-12-02
Albert Arlen,Musical theatre,1905,1993,88,1905-01-10,1905-01-10,1905-01-10,1993-03-24,24,1993-03-24
Albert Ayler,Free jazz,1936,1970,34,1936-07-13,1936-07-13,1936-07-13,1970-11-25,1970-11-25,1970-11-25
Albert Chevalier,Music hall,1861,1923,62,1861-03-21,21,1861-03-21,1923-07-10,1923-07-10,
Albert Collins,Blues-rock,1932,1993,61,1932-10-01,1932-10-01,1932-10-01,1993-11-24,1993-11-24,1993-11-24
Albert Dupuis,Classical music,1877,1967,90,1877-03-01,1877-03-01,1,1967-09-19,1967-09-19,1967-09-19
Albert E. Brumley,Christian music,1905,1977,72,1905-10-29,1905-10-29,1905-10-29,1977-11-15,1977-11-15,1977-11-15
Albertina Walker,Gospel music,1929,2010,81,1929-08-29,,,2010-10-08,,2010-10-08
Albert King,Blues,1923,1992,69,1923-04-25,1923-04-25,1923-04-25,1992-12-21,1992-12-21,"Memphis, Tennessee, United States"
Albert Mangelsdorff,Jazz,1928,2005,77,1928-09-05,1928-09-05,1928-09-05,2005-07-25,2005-07-25,2005-07-25
Alcide Nunez,Jazz,1884,1934,50,1884-03-17,1884-03-17,1884-03-17,1934-09-02,1934-09-02,1934-09-02
Al Cohn,Big band,1925,1988,63,1925-11-24,1925-11-24,1925,1988-02-15,1988,1988-02-15
Al De Lory,Country music,1930,2012,82,1930-01-31,1930-01-31,31,2012-02-05,5,2012-02-05
Aldemaro Romero,Music of Venezuela,1928,2007,79,1928-03-12,1928-03-12,1928-03-12,2007-09-15,2007-09-15,2007-09-15
Alec Seward,Piedmont blues,1902,1972,70,1902-03-16,1902-03-16,1902-03-16,1972-05-11,1972-05-11,1972-05-11
Alec Wilder,Popular music,1907,1980,73,1907-02-16,1907-02-16,1907-02-16,1980-12-24,1980-12-24,1980-12-24
Aleksandar Sarievski,Narodna muzika,1922,2002,80,1922-06-20,1922-06-20,1922-06-20,2002-12-19,2002-12-19,2002-12-19
Aleksandr Nepomniachtchi,Rock music,1968,2007,39,1968-02-16,1968-02-16,1968-02-16,2007-04-20,2007-04-20,2007-02-16
Alexander Courage,Soundtrack,1919,2008,89,1919-12-10,1919-12-10,,2008-05-15,,2008-05-15
Alexandre Barjansky,Classical music,1885,1946,61,,,1885,,1946,
Alexandre Goria,Classical music,1823,1860,37,1823-01-21,,21,1860-07-06,6,
Alex Baroni,Ballata,1966,2002,36,1966-12-22,1966-12-22,1966-12-22,2002-04-13,2002-04-13,2002-04-13
Alex Chilton,Blue-eyed soul,1950,2010,60,1950-12-28,1950-12-28,1950-12-28,2010-03-17,2010-03-17,2010-03-17
Alexei Khvostenko,Bard (Soviet Union),1940,2004,64,1940-11-14,1940-11-14,1940-11-14,2004-11-30,2004-11-30,2004-11-30
Alexey Ekimyan,Pop music,1927,1982,55,1927-04-10,1927-04-10,1927-04-10,1982-04-24,1982-04-24,1982-04-24
Alex Harvey (musician),Rock and roll,1935,1982,47,1935-02-05,1935-02-05,5,1982-02-04,4,1982-02-04
Alexis Korner,Blues,1928,1984,56,1928-04-19,1928-04-19,19,1984-01-01,1,1984-01-01
Alex Konadu,Highlife,1950,2011,61,,,1950,2011-01-18,2011-01-18,
Alex St. Clair,Rock music,1941,2006,65,1941-09-14,1941-09-14,1941-09-14,2006-01-05,2006-01-05,2006-01-05
Alf Bigden,Big band,1932,2007,75,1932-03-01,1932-03-01,1,2007-10-12,12,2007-10-12
Alfred Apaka,Standard (music),1919,1960,41,1919-03-19,1919-03-19,1919,1960-01-30,1960,1960-01-30
Alfred Cortot,Classical music,1877,1962,85,1877-09-26,1877-09-26,1877,1962-06-15,1962,1962-06-15
Al Gallodoro,Jazz,1913,2008,95,1913-06-20,1913-06-20,1913-06-20,2008-10-04,2008-10-04,2008-10-04
Alger Texas Alexander,Texas blues,1900,1954,54,1900-09-12,"Jewett, Texas, United States",1900-09-12,1954-04-18,1954-04-18,1954-04-18
Al Hibbler,Jazz,1915,2001,86,1915-08-16,1915-08-16,1915-08-16,2001-04-24,2001-04-24,2001-04-24
Ali Akbar Khan,Indian classical music,1922,2009,87,1922-04-14,1922-04-14,1922,2009-06-18,2009,2009-06-18
Alice Coltrane,Avant-garde jazz,1937,2007,70,1937-08-27,1937-08-27,1937-08-27,2007-01-12,2007-01-12,2007-01-12
Alice Martineau,Pop music,1972,2003,31,1972-06-08,1972-06-08,8,2003-03-06,6,2003-03-06
Alicia Delgado,Traditional music,1959,2009,50,1959-05-06,1959-05-06,1959-05-06,2009-07-23,2009-06-23,2009-07-23
Ali Farka Touré,Blues,1939,2006,67,1939-10-31,1939-10-31,1939-10-31,2006-03-07,2006-03-06,2006-03-07
Ali Feiruz,Music of Somalia,1931,1994,63,,1931,1931,,1994,1994
Ali Merdan,Kurdish music,1904,1981,77,,1904,1904,1981-07-24,1981,1981-07-24
Ali-Naqi Vaziri,Classical music,1887,1979,92,,,1887,1979-09-09,1979-09-09,1979-09-09
Ali Tajvidi,Folk music,1919,2006,87,1919-11-07,1919-11-07,1919-11-07,2006-03-15,2006-03-15,2006-03-15
"Al Jackson, Jr.",Funk,1934,1975,41,1934-11-27,1935-11-27,1934-11-27,1975-10-01,1975-10-01,
Al Jolson,Jazz,1886,1950,64,1886-05-26,1886-05-26,1886-05-26,1950-10-23,1950-10-23,1950-10-23
Al Jones,Folk rock,1945,2008,63,1945-10-31,1945-10-31,1945,2008-06-01,2008,2008-06-01
Alladiya Khan,Khayal,1855,1946,91,1855-08-10,,1855-08-10,,1946,
Allah Rakha (sarangi),Hindustani classical music,1919,2000,81,,1919,1919,,2000,2000
Allan Smethurst,Folk music,1927,2000,73,1927-11-19,1927-11-19,19,2000-12-24,2000,2000-12-24
Allen Collins,Southern rock,1952,1990,38,1952-07-19,1992-07-19,1952-07-19,1990-01-23,1990-01-23,1990-01-23
Allen Klein,Rock music,1931,2009,78,1931-12-18,1931-12-18,1931-12-18,2009-07-04,2009-07-04,2009-07-04
Allen Shellenberger,Progressive metal,1969,2009,40,1969-09-15,1969-09-15,1969-09-15,2009-08-13,2009-08-13,2009-08-13
Allen Woody,Hard Rock,1955,2000,45,1955-10-03,1955-10-03,1955-10-03,2000-08-26,2000-08-26,2000-08-25
Alma Cogan,Traditional pop music,1932,1966,34,1932-05-19,1932-05-19,19,1966-10-26,26,1966-10-26
Al Martino,Swing (genre),1927,2009,82,1927-10-07,1927-10-07,1927,2009-10-13,2009,2009-10-13
